callsign,icao24,typecode,airport
RAM724A,020111,E190,LSZH
FHSKJ,39c949,VTOR,LSZH
DLH4UL,3c4dc2,CRJ9,LSZH
EWG1171,3c55c6,A20N,LSZH
EWG2AW,3c5eeb,A319,LSZH
EWG4EB,3c5ef2,A319,LSZH
DLH9LY,3c644e,A319,LSZH
DLH2HV,3c6590,A319,LSZH
JPV148,3e46e1,PRM1,LSZH
DMESC,3ff092,WT9,LSZH
EZY62TC,40631b,A319,LSZH
BAW712T,40697c,A320,LSZH
BAW714T,407fca,UNKNOWN,LSZH
GPX1BL,4520fb,B734,LSZH
PHJRC,485f59,E35L,LSZH
KLM29A,486651,UNKNOWN,LSZH
KLM51T,486954,UNKNOWN,LSZH
RYR92BG,48c139,B738,LSZH
NJE964C,49130f,C56X,LSZH
TAP93ZR,4951cd,A320,LSZH
SAS841,4aca76,UNKNOWN,LSZH
EZS13YG,4b0280,A20N,LSZH
SWR1TW,4b028a,E290,LSZH
SWR1HB,4b028d,E290,LSZH
SWR9FX,4b028e,E290,LSZH
SWR319V,4b0292,E295,LSZH
SWR2DV,4b0293,E295,LSZH
HBDGI,4b0890,M20T,LSZH
EDW25,4b15d6,UNKNOWN,LSZH
EDW403Y,4b15ed,A320,LSZH
EDW121Q,4b161e,A320,LSZH
SWR9WF,4b1620,A320,LSZH
SWR96M,4b1691,A321,LSZH
SWR9HE,4b1693,A321,LSZH
SWR3HY,4b17de,BCS1,LSZH
SWR2XC,4b17e2,BCS1,LSZH
SWR7KT,4b17fd,BCS3,LSZH
SWR502V,4b1801,BCS3,LSZH
SWR7AK,4b180c,BCS3,LSZH
SWR3XM,4b1815,A20N,LSZH
SWR8HG,4b1817,A20N,LSZH
EDW289K,4b18b9,A320,LSZH
SWR5GT,4b18f1,A320,LSZH
SWR1CZ,4b194e,UNKNOWN,LSZH
SWR8CD,4b19f5,E190,LSZH
SWR211D,4b19fc,UNKNOWN,LSZH
SWR2WX,4b19ff,UNKNOWN,LSZH
EJU58DW,4b1a1b,A320,LSZH
EZS31YT,4b1a29,A320,LSZH
EZS85JU,4b1a2b,A320,LSZH
EJU78NZ,4b1a2e,UNKNOWN,LSZH
HBKCM,4b1aa8,UNKNOWN,LSZH
LUC2M,4b37a8,UNKNOWN,LSZH
CAZ201,4b3810,UNKNOWN,LSZH
AGV08,4b3e2d,UNKNOWN,LSZH
TKJ6ER,4b9e06,UNKNOWN,LSZH
THY1JR,4baa73,A321,LSZH
TKJ50X,4bb056,UNKNOWN,LSZH
PGT697V,4bc842,A21N,LSZH
SXS58U,4bcdb5,UNKNOWN,LSZH
SXS9WZ,4bce09,B738,LSZH
SXS38K,4bce0b,UNKNOWN,LSZH
SXS63F,4bce19,UNKNOWN,LSZH
WZZ462,4d201f,A320,LSZH
KMM3492,4d2035,UNKNOWN,LSZH
AJD19ST,4d20b9,CL64,LSZH
RYR73AG,4d2256,B738,LSZH
RYR594E,4d22c4,A320,LSZH
T7EMI,50031c,UNKNOWN,LSZH
SWR339H,502cc8,BCS3,LSZH
SWR2TM,502d28,BCS3,LSZH
SWR97Q,502da9,UNKNOWN,LSZH
SWR37V,502dac,UNKNOWN,LSZH
MNE310,516097,E195,LSZH
N128ED,a071d2,UNKNOWN,LSZH
PVA1553,a320e5,UNKNOWN,LSZH
